INFO 2025-10-05 10:54:27,026 basehttp "GET /admin/accounts/user/3/change/ HTTP/1.1" 200 25567
INFO 2025-10-05 10:54:27,102 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-05 10:54:27,102 basehttp "GET /static/admin/js/SelectBox.js HTTP/1.1" 200 4530
INFO 2025-10-05 10:54:27,204 basehttp "GET /static/admin/js/SelectFilter2.js HTTP/1.1" 200 15845
INFO 2025-10-05 10:54:27,336 basehttp "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
WARNING 2025-10-05 10:54:49,370 log Unauthorized: /api/accounts/auth/login/
WARNING 2025-10-05 10:54:49,371 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 401 58
WARNING 2025-10-05 10:56:20,389 log Unauthorized: /api/accounts/auth/login/
WARNING 2025-10-05 10:56:20,391 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 401 58
WARNING 2025-10-05 10:58:15,570 log Unauthorized: /api/accounts/auth/login/
WARNING 2025-10-05 10:58:15,571 basehttp "GET /api/accounts/auth/login/ HTTP/1.1" 401 3922
INFO 2025-10-05 10:58:15,653 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-10-05 10:58:15,660 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-10-05 10:58:15,706 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-10-05 10:58:15,735 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-10-05 10:58:15,750 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-10-05 10:58:15,784 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-10-05 10:58:15,794 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-10-05 10:58:15,831 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-10-05 10:58:15,832 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-10-05 10:58:15,835 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-10-05 10:58:15,843 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-10-05 10:58:15,875 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
WARNING 2025-10-05 10:58:16,022 log Not Found: /favicon.ico
WARNING 2025-10-05 10:58:16,023 basehttp "GET /favicon.ico HTTP/1.1" 404 2861
INFO 2025-10-05 10:59:38,312 autoreload /home/fadih/Projects/ITA_Platform/accounts/views.py changed, reloading.
INFO 2025-10-05 10:59:39,372 autoreload Watching for file changes with StatReloader
WARNING 2025-10-05 10:59:45,527 log Method Not Allowed: /api/accounts/auth/login/
WARNING 2025-10-05 10:59:45,527 basehttp "GET /api/accounts/auth/login/ HTTP/1.1" 405 5812
INFO 2025-10-05 11:00:01,185 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 200 149
WARNING 2025-10-05 11:00:53,971 log Forbidden: /api/accounts/auth/password/change/
WARNING 2025-10-05 11:00:53,973 basehttp "POST /api/accounts/auth/password/change/ HTTP/1.1" 403 45
WARNING 2025-10-05 11:09:35,212 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:09:35,213 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 93
WARNING 2025-10-05 11:12:18,047 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:12:18,049 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
INFO 2025-10-05 11:12:32,969 autoreload Watching for file changes with StatReloader
WARNING 2025-10-05 11:12:39,437 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:12:39,439 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
WARNING 2025-10-05 11:18:16,065 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:18:16,068 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 93
WARNING 2025-10-05 11:23:11,085 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:23:11,177 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
WARNING 2025-10-05 11:27:14,888 log Unauthorized: /api/accounts/users/
WARNING 2025-10-05 11:27:14,890 basehttp "GET /api/accounts/users/ HTTP/1.1" 401 59
WARNING 2025-10-05 11:27:19,826 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:27:19,827 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
WARNING 2025-10-05 11:27:30,016 log Method Not Allowed: /api/accounts/auth/login/
WARNING 2025-10-05 11:27:30,016 basehttp "GET /api/accounts/auth/login/ HTTP/1.1" 405 40
WARNING 2025-10-05 11:27:37,279 log Forbidden: /api/accounts/auth/login/
WARNING 2025-10-05 11:27:37,280 basehttp "POST /api/accounts/auth/login/ HTTP/1.1" 403 45
WARNING 2025-10-05 11:27:42,712 log Method Not Allowed: /api/accounts/auth/login/
